model_name,index,batch_size,optimizer,learning_rate,time_start,time_end,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg,test_loss,test_accuracy,test_precision_macro_avg,test_recall_macro_avg,test_f1_score_macro_avg
ribeiro,41,32,sgd,0.01,2025-03-29T21:01:26.301512,2025-03-29T21:04:59.160372,0.2644524872303009,0.74553382396698,0.8124097491251077,0.6177790955960567,0.6736972519701742,0.3237155675888061,0.7143559455871582,0.7599033656434107,0.5659420454510847,0.616860770479261,0.3317530155181885,0.712195098400116,0.7479814975052859,0.5541920249411952,0.6064419957268913
ahmed,42,32,sgd,0.01,2025-03-29T21:05:10.225908,2025-03-29T21:07:37.029299,0.1898185014724731,0.7851310968399048,0.8410049450650453,0.7296673527404708,0.7745014160138703,0.2900703847408294,0.735988199710846,0.7273968655870926,0.6132069982962003,0.6572663629306299,0.2940376102924347,0.7375609874725342,0.7309011990754488,0.6052437700313352,0.6521070368909999
baloglu,43,32,sgd,0.01,2025-03-29T21:07:46.085486,2025-03-29T21:10:04.542411,0.2547295093536377,0.7680643200874329,0.7948130979783959,0.6434567813176432,0.7045400145036307,0.3045410513877868,0.7384464144706726,0.7421671171007999,0.583187239598119,0.6427018121572872,0.3155888319015503,0.7336585521697998,0.7126204430223675,0.5463985939536087,0.6066257545718944
rajpurkar,44,32,sgd,0.1,2025-03-29T21:10:12.816985,2025-03-29T21:16:48.198826,0.2845740616321563,0.7319663763046265,0.8436544413388875,0.6246143705184549,0.6834550442416792,0.3656126856803894,0.6878072619438171,0.7585405900103466,0.5626640870131192,0.6134986246641876,0.3883330821990967,0.6902438998222351,0.7567978892537539,0.5512999139776011,0.6023838147447804
ribeiro,45,32,sgd,0.1,2025-03-29T21:17:05.937264,2025-03-29T21:19:32.853290,0.274300068616867,0.7260113954544067,0.7327498428513823,0.6424416032035853,0.6699110446351584,0.3292239606380462,0.6828908324241638,0.6715296112484017,0.583181201123679,0.6116954687983555,0.3313363790512085,0.6887804865837097,0.6735884654738881,0.575771160523596,0.6055621318515474
ahmed,46,32,sgd,0.1,2025-03-29T21:19:43.765356,2025-03-29T21:21:27.913087,0.2005813717842102,0.7889987230300903,0.8007750855250431,0.7274181919496485,0.7560583054675256,0.283770740032196,0.7364798188209534,0.713675618092256,0.6345090603635932,0.6653862146765717,0.2997925281524658,0.730731725692749,0.7131421246796439,0.6298617823895757,0.6601639454275702
baloglu,47,32,sgd,0.1,2025-03-29T21:21:37.018785,2025-03-29T21:22:51.712028,0.2285061329603195,0.769844651222229,0.8205957231889546,0.6856762226886095,0.7413891771754064,0.3065569996833801,0.728613555431366,0.7417568833731184,0.5902313767003585,0.6469727093820221,0.323255330324173,0.7214634418487549,0.7157251801942417,0.5697075495170284,0.6249825296473633
rajpurkar,48,32,rmsprop,0.001,2025-03-29T21:22:59.949599,2025-03-29T21:33:46.383948,0.2096010446548462,0.8014611005783081,0.8340376657691685,0.6950712710521494,0.7477601398022863,0.2689970433712005,0.7635201811790466,0.7854883138116735,0.6334997070645506,0.6868497032646688,0.287545770406723,0.764390230178833,0.7623662464591204,0.6229575527237017,0.6704415562327176
ribeiro,49,32,rmsprop,0.001,2025-03-29T21:34:03.490806,2025-03-29T21:36:42.043775,0.1854350566864013,0.8109767436981201,0.872134162919464,0.7022100588295034,0.7673211566297887,0.2797296941280365,0.7517207264900208,0.7715007090981311,0.5971995129160091,0.65953930951003,0.2922375500202179,0.7482926845550537,0.7691552899573548,0.6007670823285597,0.6588260186930861
ahmed,50,32,rmsprop,0.001,2025-03-29T21:36:53.316219,2025-03-29T21:38:52.983601,0.1953073590993881,0.8107311725616455,0.8597009190048034,0.7079993811603733,0.7693906769209616,0.2981290817260742,0.76106196641922,0.7834471772368501,0.6268321799271868,0.685497997760884,0.3218707740306854,0.7546341419219971,0.7464148968911534,0.5968232148380557,0.6509869200194475
baloglu,51,32,rmsprop,0.001,2025-03-29T21:39:01.596775,2025-03-29T21:40:04.377054,0.2301163524389267,0.7815703749656677,0.8294837500996628,0.6752241439454278,0.7233310698368546,0.3046907186508178,0.7418879270553589,0.7565805331639966,0.6068636482625099,0.6496293769854004,0.3231731951236725,0.7336585521697998,0.732434246974299,0.5780583632787131,0.6184305357531013
rajpurkar,52,32,rmsprop,0.01,2025-03-29T21:40:12.561725,2025-03-29T21:49:11.891571,0.228144496679306,0.7688010334968567,0.8139538372462288,0.6695223141577649,0.7294994617505498,0.2658142149448395,0.74631267786026,0.7756568885984365,0.6184704892397763,0.6811208847787735,0.2789622545242309,0.740487813949585,0.7575712951006899,0.6051659315559833,0.6638692596748368
ribeiro,53,32,rmsprop,0.01,2025-03-29T21:49:28.790121,2025-03-29T21:53:05.699386,0.2297510206699371,0.7765362858772278,0.7959311765393837,0.6969467009285328,0.7334923180739359,0.2821432948112488,0.7428711652755737,0.7411685024259758,0.6462226448052567,0.6790855652613621,0.2944169640541076,0.7346341609954834,0.7395599397391186,0.6342949246952376,0.6680089170340212
ahmed,54,32,rmsprop,0.01,2025-03-29T21:53:16.674985,2025-03-29T21:56:19.926162,0.2103038132190704,0.7988826632499695,0.8616300359374831,0.6854914135950902,0.7554465922482928,0.2762278914451599,0.7507374882698059,0.7769155981371854,0.611853278676225,0.6768810044923967,0.2698124349117279,0.7517073154449463,0.7771725881098186,0.6070900376728023,0.6740905067679336
baloglu,55,32,rmsprop,0.01,2025-03-29T21:56:28.606853,2025-03-29T21:57:38.487449,0.2837876975536346,0.7611885070800781,0.7590795927634103,0.6067286425611049,0.6611762740358837,0.3710432946681976,0.7276302576065063,0.6782531451234431,0.5168423397160536,0.5685506372623657,0.4108772277832031,0.7117072939872742,0.6685351581126623,0.5101556327579305,0.5560583540620148
rajpurkar,56,32,rmsprop,0.1,2025-03-29T21:57:46.770023,2025-03-29T22:17:38.748003,0.2513377964496612,0.761925220489502,0.8124194355771142,0.6412022584061825,0.6939947556821219,0.3058000206947326,0.7163225412368774,0.7328019929265148,0.579723709134978,0.6285245577509174,0.3036900758743286,0.7253658771514893,0.7469543917854724,0.5949262503726989,0.6405840544798621
ribeiro,57,32,rmsprop,0.1,2025-03-29T22:17:55.517656,2025-03-29T22:23:45.249512,0.2003935575485229,0.824298620223999,0.8650539766495211,0.7018334374068544,0.7667109865506974,0.2848013341426849,0.7669616341590881,0.7828538381581136,0.6184718925687853,0.6810986646036467,0.2843322157859802,0.7731707096099854,0.7818601184462513,0.6248326316774613,0.6844399258935328
ahmed,58,32,rmsprop,0.1,2025-03-29T22:23:55.702398,2025-03-29T22:30:30.110406,3545.27587890625,0.4630732536315918,0.3199997760002048,0.0001803178508602,0.0003602349038547,0.5301986932754517,0.4631268382072449,0.0,0.0,0.0,1335.8544921875,0.4648780524730682,0.1999998000002,0.0002092050207016,0.0004179728313291
baloglu,59,32,rmsprop,0.1,2025-03-29T22:30:38.674414,2025-03-29T22:34:40.205831,0.5314707159996033,0.4630118608474731,0.0,0.0,0.0,0.5302106738090515,0.4631268382072449,0.0,0.0,0.0,0.5299271941184998,0.46536585688591,0.0,0.0,0.0
